expiry,T,strike,moneyness,log_moneyness,call_mid,put_mid,call_bid,call_ask,put_bid,put_ask,implied_vol,delta,vega
7D,0.027778,337.5,0.75,-0.2877,112.8748,0.0,112.8373,112.9123,-0.0375,0.0375,0.386562,1.0,0.0011
7D,0.027778,360.0,0.8,-0.2231,90.4,0.0002,90.365,90.435,-0.0348,0.0352,0.342726,1.0,0.012
7D,0.027778,382.5,0.85,-0.1625,67.9288,0.0041,67.8963,67.9613,-0.0284,0.0366,0.307746,0.9993,0.1699
7D,0.027778,396.0,0.88,-0.1278,54.4637,0.0239,54.4327,54.4947,-0.0071,0.0549,0.289904,0.9965,0.7968
7D,0.027778,405.0,0.9,-0.1054,45.5106,0.0608,45.4806,45.5406,0.0308,0.0908,0.271719,0.9912,1.7884
7D,0.027778,414.0,0.92,-0.0834,36.6383,0.1786,36.6093,36.6673,0.1496,0.2076,0.259353,0.9759,4.2446
7D,0.027778,423.0,0.94,-0.0619,28.0157,0.546,27.9877,28.0437,0.518,0.574,0.252946,0.9351,9.4945
7D,0.027778,432.0,0.96,-0.0408,19.8036,1.3239,19.7766,19.8306,1.2969,1.3509,0.239155,0.8581,16.8441
7D,0.027778,441.0,0.98,-0.0202,12.4421,2.9523,12.4161,12.4681,2.9263,2.9783,0.224555,0.7218,25.1676
7D,0.027778,450.0,1.0,0.0,6.7461,6.2464,6.7211,6.7711,6.2214,6.2714,0.217145,0.5195,29.8851
7D,0.027778,459.0,1.02,0.0198,2.8265,11.3168,2.8005,2.8525,11.2908,11.3428,0.204091,0.2972,25.9656
7D,0.027778,468.0,1.04,0.0392,0.8755,18.3558,0.8485,0.9025,18.3288,18.3828,0.194428,0.1231,15.2705
7D,0.027778,477.0,1.06,0.0583,0.1905,26.6608,0.1625,0.2185,26.6328,26.6888,0.187255,0.0347,5.7541
7D,0.027778,486.0,1.08,0.077,0.0168,35.4771,-0.0122,0.0458,35.4481,35.5061,0.171838,0.0042,0.9318
7D,0.027778,495.0,1.1,0.0953,0.0009,44.4512,-0.0291,0.0309,44.4212,44.4812,0.163781,0.0003,0.0814
7D,0.027778,504.0,1.12,0.1133,0.0,53.4403,-0.031,0.031,53.4093,53.4713,0.15896,0.0,0.004
7D,0.027778,517.5,1.15,0.1398,0.0,66.9253,-0.0325,0.0325,66.8928,66.9578,0.145705,0.0,0.0
7D,0.027778,540.0,1.2,0.1823,0.0,89.4003,-0.035,0.035,89.3653,89.4353,0.13123,0.0,0.0
7D,0.027778,562.5,1.25,0.2231,0.0,111.8753,-0.0375,0.0375,111.8378,111.9128,0.110684,0.0,0.0
14D,0.055556,337.5,0.75,-0.2877,113.2508,0.0016,113.2133,113.2883,-0.0359,0.0391,0.347542,0.9998,0.0697
14D,0.055556,360.0,0.8,-0.2231,90.8116,0.0125,90.7766,90.8466,-0.0225,0.0475,0.320935,0.9987,0.4465
14D,0.055556,382.5,0.85,-0.1625,68.4131,0.0641,68.3806,68.4456,0.0316,0.0966,0.284742,0.9936,1.9147
14D,0.055556,396.0,0.88,-0.1278,55.0751,0.1961,55.0441,55.1061,0.1651,0.2271,0.268683,0.9815,4.8108
14D,0.055556,405.0,0.9,-0.1054,46.2627,0.3637,46.2327,46.2927,0.3337,0.3937,0.253566,0.9664,7.931
14D,0.055556,414.0,0.92,-0.0834,37.6926,0.7736,37.6636,37.7216,0.7446,0.8026,0.246057,0.9338,13.6342
14D,0.055556,423.0,0.94,-0.0619,29.4867,1.5478,29.4587,29.5147,1.5198,1.5758,0.238336,0.8788,21.3645
14D,0.055556,432.0,0.96,-0.0408,21.7178,2.7589,21.6908,21.7448,2.7319,2.7859,0.225302,0.7987,29.807
14D,0.055556,441.0,0.98,-0.0202,15.0816,5.1027,15.0556,15.1076,5.0767,5.1287,0.221048,0.676,38.1279
14D,0.055556,450.0,1.0,0.0,9.3701,8.3712,9.3451,9.3951,8.3462,8.3962,0.20968,0.5278,42.2116
14D,0.055556,459.0,1.02,0.0198,5.2341,13.2153,5.2081,5.2601,13.1893,13.2413,0.202531,0.3653,39.8776
14D,0.055556,468.0,1.04,0.0392,2.4747,19.4358,2.4477,2.5017,19.4088,19.4628,0.193861,0.2157,31.0483
14D,0.055556,477.0,1.06,0.0583,1.1217,27.0629,1.0937,1.1497,27.0349,27.0909,0.193802,0.1143,20.4949
14D,0.055556,486.0,1.08,0.077,0.3216,35.2428,0.2926,0.3506,35.2138,35.2718,0.181088,0.0418,9.4803
14D,0.055556,495.0,1.1,0.0953,0.068,43.9693,0.038,0.098,43.9393,43.9993,0.171129,0.0111,3.0907
14D,0.055556,504.0,1.12,0.1133,0.0161,52.8973,-0.0149,0.0471,52.8663,52.9283,0.17022,0.003,0.9666
14D,0.055556,517.5,1.15,0.1398,0.0003,66.3516,-0.0322,0.0328,66.3191,66.3841,0.154757,0.0001,0.0371
14D,0.055556,540.0,1.2,0.1823,0.0,88.8013,-0.035,0.035,88.7663,88.8363,0.144709,0.0,0.0
14D,0.055556,562.5,1.25,0.2231,0.0,111.2514,-0.0375,0.0375,111.2139,111.2889,0.12525,0.0,0.0
21D,0.083333,337.5,0.75,-0.2877,113.6343,0.0112,113.5968,113.6718,-0.0263,0.0487,0.328923,0.9991,0.4084
21D,0.083333,360.0,0.8,-0.2231,91.2493,0.0513,91.2143,91.2843,0.0163,0.0863,0.301794,0.9959,1.5758
21D,0.083333,382.5,0.85,-0.1625,68.9949,0.222,68.9624,69.0274,0.1895,0.2545,0.275559,0.9832,5.4228
21D,0.083333,396.0,0.88,-0.1278,55.8192,0.5014,55.7882,55.8502,0.4704,0.5324,0.258756,0.9635,10.3793
21D,0.083333,405.0,0.9,-0.1054,47.2118,0.864,47.1818,47.2418,0.834,0.894,0.248436,0.9396,15.5546
21D,0.083333,414.0,0.92,-0.0834,38.8568,1.4791,38.8278,38.8858,1.4501,1.5081,0.238875,0.9018,22.4936
21D,0.083333,423.0,0.94,-0.0619,30.8,2.3924,30.772,30.828,2.3644,2.4204,0.226769,0.8482,30.5263
21D,0.083333,432.0,0.96,-0.0408,23.4978,4.0602,23.4708,23.5248,4.0332,4.0872,0.220879,0.7656,39.8648
21D,0.083333,441.0,0.98,-0.0202,16.9732,6.5056,16.9472,16.9992,6.4796,6.5316,0.213877,0.6599,47.6057
21D,0.083333,450.0,1.0,0.0,11.6809,10.1834,11.6559,11.7059,10.1584,10.2084,0.211016,0.5339,51.6365
21D,0.083333,459.0,1.02,0.0198,7.2256,14.6981,7.1996,7.2516,14.6721,14.7241,0.201799,0.3999,50.1843
21D,0.083333,468.0,1.04,0.0392,3.821,20.2636,3.794,3.848,20.2366,20.2906,0.188714,0.2638,42.455
21D,0.083333,477.0,1.06,0.0583,2.0587,27.4714,2.0307,2.0867,27.4434,27.4994,0.188506,0.163,31.9885
21D,0.083333,486.0,1.08,0.077,0.8604,35.2431,0.8314,0.8894,35.2141,35.2721,0.18019,0.0823,19.7382
21D,0.083333,495.0,1.1,0.0953,0.3061,43.6588,0.2761,0.3361,43.6288,43.6888,0.173395,0.035,10.0271
21D,0.083333,504.0,1.12,0.1133,0.1085,52.4313,0.0775,0.1395,52.4003,52.4623,0.171598,0.0141,4.6516
21D,0.083333,517.5,1.15,0.1398,0.0139,65.7917,-0.0186,0.0464,65.7592,65.8242,0.164815,0.0022,0.909
21D,0.083333,540.0,1.2,0.1823,0.0001,88.2031,-0.0349,0.0351,88.1681,88.2381,0.152239,0.0,0.0142
21D,0.083333,562.5,1.25,0.2231,0.0,110.6281,-0.0375,0.0375,110.5906,110.6656,0.135927,0.0,0.0
30D,0.119048,337.5,0.75,-0.2877,114.1505,0.0472,114.113,114.188,0.0097,0.0847,0.315758,0.9969,1.4562
30D,0.119048,360.0,0.8,-0.2231,91.8623,0.152,91.8273,91.8973,0.117,0.187,0.288822,0.9903,4.0384
30D,0.119048,382.5,0.85,-0.1625,69.8234,0.5063,69.7909,69.8559,0.4738,0.5388,0.265495,0.9694,10.7419
30D,0.119048,396.0,0.88,-0.1278,56.814,0.9327,56.783,56.845,0.9017,0.9637,0.247485,0.9447,17.3462
30D,0.119048,405.0,0.9,-0.1054,48.4255,1.5015,48.3955,48.4555,1.4715,1.5315,0.239837,0.915,24.1629
30D,0.119048,414.0,0.92,-0.0834,40.2284,2.2616,40.1994,40.2574,2.2326,2.2906,0.228972,0.876,31.7835
30D,0.119048,423.0,0.94,-0.0619,32.5036,3.4942,32.4756,32.5316,3.4662,3.5222,0.221001,0.8191,40.8659
30D,0.119048,432.0,0.96,-0.0408,25.6622,5.61,25.6352,25.6892,5.583,5.637,0.219707,0.7387,50.4957
30D,0.119048,441.0,0.98,-0.0202,19.3991,8.3041,19.3731,19.4251,8.2781,8.3301,0.214378,0.646,57.747
30D,0.119048,450.0,1.0,0.0,13.6688,11.531,13.6438,13.6938,11.506,11.556,0.203474,0.541,61.6144
30D,0.119048,459.0,1.02,0.0198,9.3893,16.2088,9.3633,9.4153,16.1828,16.2348,0.200397,0.4274,60.9136
30D,0.119048,468.0,1.04,0.0392,5.8359,21.6127,5.8089,5.8629,21.5857,21.6397,0.192457,0.3136,55.0493
30D,0.119048,477.0,1.06,0.0583,3.2544,27.9884,3.2264,3.2824,27.9604,28.0164,0.183698,0.2082,44.5276
30D,0.119048,486.0,1.08,0.077,1.7947,35.486,1.7657,1.8237,35.457,35.515,0.181242,0.1307,32.9605
30D,0.119048,495.0,1.1,0.0953,0.9321,43.5805,0.9021,0.9621,43.5505,43.6105,0.179546,0.0763,22.2596
30D,0.119048,504.0,1.12,0.1133,0.3476,51.9533,0.3166,0.3786,51.9223,51.9843,0.169837,0.0341,11.7494
30D,0.119048,517.5,1.15,0.1398,0.092,65.1335,0.0595,0.1245,65.101,65.166,0.16758,0.0106,4.3388
30D,0.119048,540.0,1.2,0.1823,0.0011,87.4358,-0.0339,0.0361,87.4008,87.4708,0.144308,0.0002,0.1172
30D,0.119048,562.5,1.25,0.2231,0.0,109.8278,-0.0375,0.0375,109.7903,109.8653,0.145101,0.0,0.0051
45D,0.178571,337.5,0.75,-0.2877,115.0643,0.1621,115.0268,115.1018,0.1246,0.1996,0.298896,0.9917,4.2857
45D,0.178571,360.0,0.8,-0.2231,92.9479,0.3857,92.9129,92.9829,0.3507,0.4207,0.271828,0.9804,9.048
45D,0.178571,382.5,0.85,-0.1625,71.23,1.0076,71.1975,71.2625,0.9751,1.0401,0.250403,0.9512,19.2453
