maturity_days,maturity_T,atm_iv,atm_iv_pct,put_25d,call_25d,skew_25d,butterfly_25d
7,0.019178,0.199333,19.9333,0.204326,0.195781,0.008545,0.000721
14,0.038356,0.199267,19.9267,0.204225,0.19588,0.008345,0.000786
21,0.057534,0.201096,20.1096,0.204127,0.195976,0.008152,-0.001044
30,0.082192,0.200425,20.0425,0.204006,0.196095,0.007911,-0.000375
45,0.123288,0.198455,19.8455,0.203814,0.196282,0.007532,0.001593
60,0.164384,0.199461,19.9461,0.203635,0.196458,0.007177,0.000586
90,0.246575,0.200386,20.0386,0.203309,0.196776,0.006533,-0.000344
120,0.328767,0.200838,20.0838,0.203023,0.197055,0.005967,-0.000799
150,0.410959,0.199321,19.9321,0.202771,0.197301,0.005469,0.000715
180,0.493151,0.197086,19.7086,0.202548,0.197518,0.00503,0.002947
240,0.657534,0.200523,20.0523,0.202176,0.197881,0.004295,-0.000495
360,0.986301,0.19878,19.878,0.201645,0.198397,0.003248,0.001242
