strike,strike_pct,maturity_days,maturity_T,implied_vol,implied_vol_pct,option_price,option_type,delta,log_moneyness,spot,rate
129.5,0.7,7,0.019178,0.261996,26.1996,0.0,put,0.0,-0.356675,185.0,0.053
138.75,0.75,7,0.019178,0.248917,24.8917,0.0,put,0.0,-0.287682,185.0,0.053
148.0,0.8,7,0.019178,0.239446,23.9446,0.0,put,-0.0,-0.223144,185.0,0.053
157.25,0.85,7,0.019178,0.230828,23.0828,0.0,put,-0.0,-0.162519,185.0,0.053
162.8,0.88,7,0.019178,0.221382,22.1382,0.0,put,-0.0,-0.127833,185.0,0.053
166.5,0.9,7,0.019178,0.21754,21.754,0.0003,put,-0.0002,-0.105361,185.0,0.053
170.2,0.92,7,0.019178,0.217409,21.7409,0.004,put,-0.0024,-0.083382,185.0,0.053
173.9,0.94,7,0.019178,0.212109,21.2109,0.0304,put,-0.0156,-0.061875,185.0,0.053
177.6,0.96,7,0.019178,0.206037,20.6037,0.1635,put,-0.0694,-0.040822,185.0,0.053
181.3,0.98,7,0.019178,0.204537,20.4537,0.6811,put,-0.2226,-0.020203,185.0,0.053
185.0,1.0,7,0.019178,0.199073,19.9073,2.1289,call,0.5202,0.0,185.0,0.053
188.7,1.02,7,0.019178,0.195685,19.5685,0.7314,call,0.2484,0.019803,185.0,0.053
192.4,1.04,7,0.019178,0.193783,19.3783,0.1761,call,0.0792,0.039221,185.0,0.053
196.1,1.06,7,0.019178,0.186218,18.6218,0.0227,call,0.0137,0.058269,185.0,0.053
199.8,1.08,7,0.019178,0.183402,18.3402,0.0019,call,0.0015,0.076961,185.0,0.053
203.5,1.1,7,0.019178,0.182594,18.2594,0.0001,call,0.0001,0.09531,185.0,0.053
207.2,1.12,7,0.019178,0.178615,17.8615,0.0,call,0.0,0.113329,185.0,0.053
212.75,1.15,7,0.019178,0.176756,17.6756,0.0,call,0.0,0.139762,185.0,0.053
222.0,1.2,7,0.019178,0.167045,16.7045,0.0,call,0.0,0.182322,185.0,0.053
231.25,1.25,7,0.019178,0.159069,15.9069,0.0,call,0.0,0.223144,185.0,0.053
240.5,1.3,7,0.019178,0.158132,15.8132,0.0,call,0.0,0.262364,185.0,0.053
129.5,0.7,14,0.038356,0.259173,25.9173,0.0,put,-0.0,-0.356675,185.0,0.053
138.75,0.75,14,0.038356,0.24821,24.821,0.0,put,-0.0,-0.287682,185.0,0.053
148.0,0.8,14,0.038356,0.234428,23.4428,0.0,put,-0.0,-0.223144,185.0,0.053
157.25,0.85,14,0.038356,0.226053,22.6053,0.0002,put,-0.0001,-0.162519,185.0,0.053
162.8,0.88,14,0.038356,0.221567,22.1567,0.0029,put,-0.0013,-0.127833,185.0,0.053
166.5,0.9,14,0.038356,0.215289,21.5289,0.0128,put,-0.0051,-0.105361,185.0,0.053
170.2,0.92,14,0.038356,0.214671,21.4671,0.0581,put,-0.0201,-0.083382,185.0,0.053
173.9,0.94,14,0.038356,0.209127,20.9127,0.1871,put,-0.057,-0.061875,185.0,0.053
177.6,0.96,14,0.038356,0.20623,20.623,0.5417,put,-0.1398,-0.040822,185.0,0.053
